column,short_name,meaning,units
period,Period,Simulation year index (0 = the scenario's start year),integer
adoption,Adoption ceiling,Cumulative adoption ceiling in force that year (share of feasible work),0-1
employed_M,Employed,Still employed at their original job and wage,millions
on_ui_M,On UI,"Displaced, drawing unemployment insurance",millions
exhausted_M,Exhausted UI,"Displaced, UI exhausted, no benefits",millions
reabsorbed_M,Re-employed,Re-employed at the lower service wage,millions
exited_M,Exited to SSDI,Left the labor force onto SSDI,millions
induced_M,Demand layoffs,Laid off by the demand shortfall (second round),millions
retired_M,Retired,Retired via natural attrition (fiscally neutral),millions
population_M,Modeled population,Sum of the seven worker states = the 154.0M modeled baseline,millions
max_cell_resid_M,Conservation residual,Largest per-cell conservation residual (should be ~0),millions
employment_drop_pct,Employment decline %,Decline in original-wage employment vs the modeled baseline,%
revenue_lost_B,Labor taxes lost,"Labor-tax revenue lost (income + payroll, fed + state)",$B/yr
revenue_lost_pct,Labor taxes lost %,"Same, as a share of baseline labor-tax revenue",%
transfers_added_B,Transfers added,New transfer outlays incl. UI (fed + state),$B/yr
inc_fed_loss_B,Fed income tax lost,Federal individual income tax lost,$B/yr
payroll_fed_loss_B,Payroll tax lost,Federal payroll (FICA) tax lost,$B/yr
inc_state_loss_B,State income tax lost,State income tax lost,$B/yr
cons_state_loss_B,State consumption tax lost,State consumption tax lost,$B/yr
transfer_fed_B,Fed transfers,Federal means-tested transfer outlays added,$B/yr
transfer_state_B,State transfers,State means-tested transfer outlays added,$B/yr
ui_outlay_fed_B,UI benefits paid,Unemployment-insurance benefits paid,$B/yr
ui_tax_fed_B,Tax on UI benefits,Income tax collected on those UI benefits,$B/yr
ssdi_outlay_B,SSDI outlays,SSDI outlays on labor-force leavers,$B/yr
ubi_outlay_B,UBI outlay (gross),Gross UBI outlay,$B/yr
ubi_recapture_B,UBI recaptured,UBI recaptured (income-tax clawback + benefit crowd-out),$B/yr
ubi_required_rate,UBI self-funding rate,Average tax rate on the eroded base a self-funding UBI would need,fraction
automation_tax_B,Robot tax,Robot-tax revenue on the automated compensation bill,$B/yr
saved_bill_B,Automated comp bill,Compensation bill of all automated jobs (cumulative stock),$B/yr
automation_spend_B,Compute & automation spend,"Of that, spent on compute & automation inputs",$B/yr
net_saving_B,Net saving,Saved bill net of automation spend,$B/yr
retained_profit_B,Kept as profit,Net saving kept as corporate profit,$B/yr
price_reduction_B,Price cuts,Net saving passed to consumers as lower prices,$B/yr
survivor_gains_B,Routed to raises,Net saving routed to raises for remaining staff,$B/yr
corp_offset_B,Corporate recapture,Corporate/capital tax recovered on retained profit,$B/yr
