preset,p10,p50,p90
Acemoglu — Modest AI,-19.86,-11.47,-4.18
Brynjolfsson — Augmentation,-95.66,-70.62,-53.38
Windfall Trust — Medium,145.36,210.66,291.32
China-Shock Grind,377.13,556.5,811.97
Korinek-Suh — AGI in 20 years,1903.91,2198.29,2483.29
Korinek-Suh — AGI in 5 years,2755.49,3063.94,3368.72
AI 2027 — Fast takeoff,1987.58,2312.07,2552.28
AI 2040 — Plan A (The Deal),1268.21,1809.76,2343.47
AI 2040 — Plan D (The Race),2652.0,2874.37,3097.38
"Karger et al. — Expert survey, rapid (P≈14%)",-32.68,-15.62,2.97
"Metaculus — Crowd median, 2035",-90.74,-66.58,-45.64
OpenAI — Jobs transition framework,-147.96,-110.68,-82.38
